index,season,SSH,river_ch,river_pc,wind_os,wind_as,bloom,output
1,3,1,-1,-1,-1,1,1,large_bloom
2,4,1,1,1,1,1,1,large_bloom
3a,2,1,-1,-1,1,-1,1,large_bloom
3b,3,1,-1,-1,1,-1,1,large_bloom
4a,4,1,1,1,1,-1,1,large_bloom
4b,1,1,1,1,-1,-1,1,large_bloom
5,2,1,-1,-1,-1,-1,1,large_bloom
6,2,1,1,-1,-1,-1,1,large_bloom
7,2,1,-1,-1,0,-1,1,large_bloom
8a,4,1,1,1,-1,-1,1,large_bloom
8b,1,1,1,-1,1,-1,1,large_bloom
9a,4,1,1,1,-1,1,1,large_bloom
9b,1,1,-1,-1,-1,-1,1,large_bloom
10a,4,1,1,-1,1,1,0,no_bloom
10b,1,1,1,-1,-1,-1,0,no_bloom
11,2,1,-1,-1,-1,-1,0,no_bloom
12,2,1,1,-1,1,-1,0,no_bloom
13,2,1,1,-1,1,-1,0,no_bloom
14,2,1,1,1,-1,-1,0,no_bloom
15a,3,1,1,-1,1,-1,0,no_bloom
15b,4,1,1,-1,1,1,0,no_bloom
16,4,-1,-1,-1,0,1,0,no_bloom
17,4,-1,-1,-1,1,-1,0,no_bloom
18,1,-1,-1,-1,-1,-1,0,no_bloom
19,1,-1,-1,-1,-1,1,0,no_bloom
20,2,-1,-1,-1,-1,-1,0,no_bloom
21a,2,1,-1,-1,-1,-1,0,no_bloom
21b,3,1,-1,-1,1,-1,0,no_bloom
22a,4,1,1,1,1,1,0,no_bloom
22b,1,-1,1,-1,-1,-1,0,no_bloom
23,1,1,1,1,-1,-1,0,no_bloom
24a,2,-1,1,1,-1,0,0,no_bloom
24b,3,1,1,1,0,-1,0,no_bloom
25,1,-1,1,1,-1,1,0,no_bloom
26a,2,1,-1,-1,1,-1,0,no_bloom
26b,3,1,-1,-1,1,-1,0,no_bloom
27,3,1,-1,-1,1,-1,0,no_bloom
28,4,1,1,1,-1,-1,0,no_bloom
29,1,-1,1,-1,1,-1,0,no_bloom
30,1,-1,1,-1,1,-1,0,no_bloom
31,1,-1,1,-1,-1,-1,0,no_bloom
32,2,1,-1,-1,1,-1,0,no_bloom
33,3,1,-1,-1,-1,-1,0,no_bloom
34,3,-1,1,-1,1,-1,0,no_bloom
35a,3,1,-1,-1,1,1,0,no_bloom
35b,4,1,-1,-1,1,1,0,no_bloom
36,3,-1,-1,-1,1,0,0,no_bloom
37,3,1,-1,-1,1,1,0,no_bloom
38,4,1,1,1,1,1,0,no_bloom
39,3,-1,-1,-1,-1,-1,0,no_bloom
40,2,1,1,-1,1,-1,0,no_bloom
41a,2,1,-1,-1,0,0,0,no_bloom
41b,3,1,-1,-1,0,0,0,no_bloom
42,3,1,-1,-1,0,0,0,no_bloom
43a,3,1,-1,-1,0,0,0,no_bloom
43b,4,-1,-1,-1,0,0,0,no_bloom
44,1,-1,1,-1,-1,-1,0,no_bloom
45,2,-1,-1,-1,-1,-1,0,no_bloom
46a,2,1,-1,-1,1,-1,0,no_bloom
46b,3,1,-1,-1,1,-1,0,no_bloom
